date|time|description|vendor|amount
2024-01-15|10:23:45|coffee and breakfast|Starbucks|-18.75
2024-01-22|14:30:12|grocery shopping|Whole Foods|-127.43
2024-02-03|09:15:33|monthly salary|Employer|3500.00
2024-09-10|16:45:22|gym membership|Planet Fitness|-29.99
2024-02-14|19:20:15|dinner date|Olive Garden|-85.60
2024-03-01|11:05:48|gas station|Shell|-52.30
2024-03-12|13:42:19|online book purchase|Amazon|-34.99
2024-03-28|08:30:55|freelance payment|Client XYZ|850.00
2024-04-05|15:18:27|phone bill|Verizon|-89.99
2024-04-20|10:55:13|clothing shopping|H&M|-156.75
2024-09-01|09:00:00|monthly salary|Employer|3500.00
2024-05-18|14:22:38|car insurance|State Farm|-245.00
2024-06-07|12:10:45|laptop repair|Tech Solutions|-175.50
2025-06-23|17:35:29|concert tickets|Ticketmaster|-220.00
2025-07-04|11:48:16|birthday gift|Target|-68.99
2025-07-19|13:25:52|dental checkup|Family Dental|-150.00
2025-08-02|09:12:30|monthly salary|Employer|3500.00
2025-08-15|16:40:18|streaming subscription|Netflix|-15.99
2024-09-08|10:35:44|new headphones|Best Buy|-129.99
2024-09-25|14:18:07|investment return|Stock Dividend|425.50
2024-10-12|11:52:33|home internet|Comcast|-79.99
2024-11-01|09:05:15|monthly salary|Employer|3500.00
2024-11-20|15:28:41|winter jacket|North Face|-189.99
2024-09-05|12:15:22|holiday gifts|Amazon|-345.67
2024-12-24|18:45:09|family dinner|Red Lobster|-198.50
2025-01-03|09:00:00|monthly salary|Employer|3650.00
2025-01-28|13:55:17|yoga classes|Zen Studio|-95.00
2025-09-14|10:42:33|tax refund|IRS|1250.00
2025-09-10|16:20:48|smart watch|Apple|-399.00
2025-09-14|13:58:38|account transfer|Bank Transfer|5000.00
2025-10-13|15:58:38|account transfer|Bank Transfer|4000.00
2025-10-14|11:58:38|account transfer|Bank Transfer|-5000.00
2025-10-18|05:58:38|account transfer|Bank Account|53000.00
2025-10-23|08:44:16|Ok mane|tester|12.00
